steering_angle,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_7,sample_6,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,f0_0,f0_1,f0_2,f0_3,f0_4,f0_5,f0_6,f0_7,f0_8,f0_9,f0_10,f0_11,f0_12,f0_13,f0_14,f0_15,f0_16,f0_17,f0_18,f0_19,f0_20,f0_21,f0_22,f0_23
20,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.48881653,0.44988424,0.4239294,0.523423,0.35904223,0.6012876,0.28982928,0.6921296,0.22061633,0.7786458,0.13842593,0.89111686,0.614265,0.45421004,0.6618489,0.5190972,0.72241026,0.5969618,0.79162323,0.6878038,0.865162,0.7786458,0.94302654,0.88679105
20,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.48881653,0.45421004,0.4196036,0.5277488,0.3503906,0.6099392,0.27685186,0.7007812,0.20331308,0.79162323,0.121122696,0.9084201,0.6099392,0.45853585,0.6618489,0.523423,0.72241026,0.6056134,0.7872974,0.6921296,0.8694878,0.7872974,0.94302654,0.8997685
20,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.49314234,0.45421004,0.4196036,0.523423,0.35471642,0.6012876,0.28550348,0.6921296,0.2162905,0.7786458,0.12977432,0.88679105,0.614265,0.45853585,0.6618489,0.523423,0.71808445,0.6012876,0.7872974,0.6921296,0.8608362,0.7872974,0.93870074,0.89544266
20,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4758391,0.45421004,0.41095194,0.523423,0.3460648,0.6012876,0.27685186,0.6921296,0.20331308,0.7829716,0.11679688,0.89111686,0.6012876,0.45421004,0.6575231,0.523423,0.71808445,0.6056134,0.7872974,0.6921296,0.865162,0.7872974,0.94302654,0.89544266
18,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.48016492,0.44988424,0.41527778,0.523423,0.3460648,0.6012876,0.27685186,0.6878038,0.20331308,0.7786458,0.121122696,0.88679105,0.6056134,0.45421004,0.6531973,0.523423,0.71808445,0.6012876,0.7829716,0.6921296,0.8608362,0.7829716,0.93870074,0.89544266
10,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.48016492,0.44555843,0.41527778,0.5190972,0.3460648,0.592636,0.27685186,0.683478,0.20763889,0.7699942,0.12544851,0.87813944,0.6012876,0.44988424,0.6488715,0.5190972,0.71375865,0.5969618,0.7786458,0.6878038,0.8521846,0.7786458,0.9300491,0.88679105
2,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4758391,0.45421004,0.40662614,0.523423,0.341739,0.6012876,0.27252603,0.6921296,0.20331308,0.7786458,0.11679688,0.89111686,0.6012876,0.45853585,0.6488715,0.5277488,0.71375865,0.6056134,0.7829716,0.6964554,0.8565104,0.79162323,0.9343749,0.9040943
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4671875,0.44988424,0.40230033,0.5190972,0.33308738,0.5969618,0.26820022,0.683478,0.19466147,0.7699942,0.112471074,0.87813944,0.5969618,0.45421004,0.6488715,0.523423,0.71375865,0.6056134,0.7786458,0.6964554,0.8565104,0.7872974,0.93870074,0.8997685
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.44988424,0.3936487,0.5190972,0.32876158,0.6012876,0.2638744,0.6878038,0.19466147,0.7829716,0.112471074,0.88679105,0.57965857,0.45421004,0.63589406,0.523423,0.70510703,0.6099392,0.77432,0.7007812,0.8521846,0.79162323,0.9343749,0.9084201
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.45421004,0.3849971,0.5277488,0.32010996,0.6012876,0.24657118,0.6921296,0.17303242,0.7829716,0.09084202,0.88679105,0.5883102,0.4628617,0.64021987,0.53207463,0.70943284,0.61859083,0.7786458,0.70943284,0.8565104,0.80460066,0.9343749,0.9170717
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.45421004,0.3806713,0.523423,0.3071325,0.6056134,0.23359375,0.6921296,0.15572917,0.7829716,0.06921297,0.89111686,0.5839844,0.45853585,0.64021987,0.5277488,0.7007812,0.614265,0.7656684,0.7007812,0.8435329,0.79594904,0.9213975,0.9084201
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4628617,0.44988424,0.3936487,0.5190972,0.32010996,0.592636,0.250897,0.6748264,0.17735822,0.7613426,0.09084202,0.865162,0.592636,0.45421004,0.6445457,0.5277488,0.70510703,0.6056134,0.7656684,0.6964554,0.8392071,0.7872974,0.9170717,0.89544266
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4671875,0.44988424,0.39797452,0.5190972,0.32876158,0.592636,0.2595486,0.6791522,0.19033565,0.7613426,0.10381945,0.865162,0.592636,0.45421004,0.64021987,0.523423,0.7007812,0.6012876,0.7570167,0.6878038,0.8262297,0.7786458,0.8997685,0.88246524
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4628617,0.44555843,0.39797452,0.5147714,0.32876158,0.5883102,0.2595486,0.6748264,0.18600984,0.7613426,0.10381945,0.865162,0.592636,0.44988424,0.64021987,0.5190972,0.6921296,0.5969618,0.7570167,0.683478,0.8262297,0.7786458,0.8997685,0.88246524
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4628617,0.4369068,0.39797452,0.5061198,0.33308738,0.57965857,0.26820022,0.6618489,0.19466147,0.7440393,0.112471074,0.8478587,0.5839844,0.44123262,0.63156825,0.5104456,0.6878038,0.5883102,0.7483651,0.6748264,0.8132523,0.7613426,0.88679105,0.865162
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.4628617,0.44555843,0.3936487,0.5147714,0.32443577,0.5883102,0.2552228,0.6748264,0.18168403,0.7570167,0.09516783,0.8608362,0.5883102,0.44555843,0.63589406,0.5190972,0.6878038,0.5969618,0.7440393,0.683478,0.8132523,0.77432,0.88246524,0.87813944
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45853585,0.44555843,0.3849971,0.5190972,0.31578413,0.5969618,0.24224538,0.683478,0.16438079,0.77432,0.077864595,0.87813944,0.5883102,0.44988424,0.63156825,0.523423,0.6878038,0.6099392,0.7483651,0.6964554,0.8175781,0.79162323,0.89111686,0.9040943
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.44555843,0.3849971,0.5147714,0.31578413,0.592636,0.24224538,0.6748264,0.16438079,0.7613426,0.077864595,0.865162,0.5839844,0.44988424,0.63589406,0.523423,0.6921296,0.6099392,0.7526909,0.6921296,0.8219039,0.7872974,0.89111686,0.8997685
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.44988424,0.37201968,0.5190972,0.3028067,0.592636,0.23359375,0.6791522,0.16005498,0.7613426,0.07353879,0.865162,0.5839844,0.45421004,0.63156825,0.5277488,0.6878038,0.6099392,0.7483651,0.6964554,0.8219039,0.7872974,0.89111686,0.89544266
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.44988424,0.37201968,0.523423,0.3028067,0.5969618,0.23359375,0.6791522,0.16005498,0.7656684,0.07353879,0.865162,0.5839844,0.45853585,0.62724245,0.5277488,0.6878038,0.614265,0.7483651,0.6964554,0.8175781,0.79162323,0.89111686,0.89544266
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44555843,0.45421004,0.36769387,0.523423,0.2984809,0.6012876,0.22061633,0.6921296,0.14707756,0.7786458,0.056235544,0.88246524,0.5839844,0.45853585,0.63156825,0.5277488,0.6921296,0.6099392,0.7526909,0.6964554,0.8262297,0.79162323,0.8997685,0.8997685
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.44988424,0.3763455,0.5190972,0.3028067,0.592636,0.23359375,0.6748264,0.16005498,0.7570167,0.06921297,0.8565104,0.5883102,0.45421004,0.63156825,0.5277488,0.6878038,0.6056134,0.7483651,0.6878038,0.8132523,0.7786458,0.88679105,0.88246524
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.45421004,0.37201968,0.523423,0.3028067,0.6012876,0.22494213,0.6878038,0.15140337,0.7699942,0.060561355,0.8694878,0.5883102,0.4628617,0.63589406,0.53207463,0.6878038,0.61859083,0.7483651,0.7007812,0.8132523,0.79162323,0.88679105,0.8997685
-4,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.44988424,0.37201968,0.5190972,0.3028067,0.5969618,0.22494213,0.6791522,0.14275174,0.7656684,0.051909737,0.865162,0.592636,0.45853585,0.64021987,0.53207463,0.6921296,0.614265,0.7526909,0.70510703,0.8219039,0.79594904,0.89544266,0.9084201
-6,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.44988424,0.37201968,0.5190972,0.2984809,0.5969618,0.22494213,0.6791522,0.14707756,0.7656684,0.056235544,0.865162,0.5839844,0.45853585,0.63589406,0.5277488,0.6921296,0.6099392,0.7526909,0.6964554,0.8219039,0.7872974,0.89544266,0.8997685
-8,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.44988424,0.36769387,0.5190972,0.2984809,0.5969618,0.22061633,0.6791522,0.14275174,0.7656684,0.051909737,0.8608362,0.5883102,0.4628617,0.63589406,0.53207463,0.6964554,0.61859083,0.7526909,0.70510703,0.8219039,0.80027485,0.8997685,0.9084201
-10,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.45421004,0.36769387,0.523423,0.2941551,0.5969618,0.2162905,0.683478,0.13842593,0.7699942,0.047583926,0.8694878,0.5883102,0.45853585,0.63589406,0.53207463,0.6964554,0.61859083,0.7526909,0.70510703,0.8219039,0.79594904,0.8997685,0.9084201
-10,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44555843,0.45421004,0.36336803,0.523423,0.2941551,0.5969618,0.2162905,0.6791522,0.14275174,0.7613426,0.051909737,0.8565104,0.5883102,0.4628617,0.63589406,0.53207463,0.6921296,0.614265,0.7526909,0.6964554,0.8219039,0.7872974,0.89544266,0.89111686
-10,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.44988424,0.45421004,0.36769387,0.5190972,0.2941551,0.592636,0.22061633,0.6748264,0.14275174,0.7613426,0.051909737,0.8565104,0.5839844,0.4628617,0.63156825,0.53207463,0.6878038,0.61859083,0.7483651,0.7007812,0.8132523,0.79594904,0.89111686,0.9040943
-10,0.46780565,0.45112035,0.3795237,0.5163602,0.30210057,0.59113526,0.22600153,0.6731487,0.14531194,0.7523378,0.053498805,0.85165465,0.5942252,0.45933053,0.62565374,0.52624786,0.6659096,0.60526043,0.7149063,0.69195294,0.76761067,0.7787341,0.8283482,0.8829067,0.45421004,0.44988424,0.3763455,0.5190972,0.3028067,0.592636,0.22926794,0.6705006,0.16005498,0.7526909,0.06921297,0.8478587,0.5883102,0.45853585,0.63589406,0.5277488,0.6878038,0.6099392,0.7483651,0.6964554,0.8132523,0.7829716,0.88679105,0.88679105
