steering_angle,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_7,sample_6,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,f0_0,f0_1,f0_2,f0_3,f0_4,f0_5,f0_6,f0_7,f0_8,f0_9,f0_10,f0_11,f0_12,f0_13,f0_14,f0_15,f0_16,f0_17,f0_18,f0_19,f0_20,f0_21,f0_22,f0_23
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3475097,0.31556928,0.30726278,0.37943852,0.25110936,0.4533593,0.18254873,0.53142893,0.109050885,0.6178365,0.027053121,0.71975505,0.48396176,0.33508566,0.5637437,0.4175176,0.63809144,0.51075953,0.70984644,0.6110848,0.7905008,0.7208915,0.86507255,0.8443084
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35531896,0.32143515,0.31509966,0.3834952,0.25895894,0.45651838,0.19067228,0.53337365,0.117195435,0.61875826,0.034790125,0.71939194,0.49187046,0.33993572,0.5718294,0.4207765,0.6454882,0.5124731,0.7172668,0.61096776,0.79759705,0.7192695,0.8720938,0.8407064
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3547781,0.32254374,0.31467444,0.3848995,0.25849918,0.4585604,0.19050081,0.5359114,0.11711449,0.62208855,0.03456316,0.7234825,0.49225834,0.34002113,0.5727551,0.4203384,0.6469089,0.5115021,0.7189836,0.6093248,0.7998717,0.7170439,0.87536496,0.8381784
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35873827,0.31728286,0.31694397,0.38033962,0.25939822,0.45427066,0.18987106,0.5319654,0.11482122,0.61864674,0.030847646,0.720166,0.49858737,0.335768,0.5790726,0.41775542,0.6534254,0.51046497,0.72591174,0.6099334,0.8072144,0.71912,0.88285905,0.8423835
-12,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35912156,0.3156172,0.32001796,0.37877208,0.2642573,0.45234865,0.19583051,0.52997553,0.12143105,0.61631274,0.037247136,0.7174823,0.4999658,0.33621746,0.58420694,0.42027637,0.66105545,0.51454526,0.7362431,0.61623085,0.82024354,0.7279297,0.89693296,0.85324645
-12,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35725328,0.31619993,0.31817687,0.3799839,0.26266366,0.45537847,0.19488169,0.5344906,0.121921435,0.6228705,0.039158836,0.72593325,0.4954392,0.332405,0.5772469,0.41316476,0.6522992,0.5045287,0.72612226,0.6029286,0.8082364,0.71108615,0.88432807,0.83308256
-12,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35665482,0.3144051,0.31892926,0.37854844,0.26410615,0.45377308,0.19658418,0.53309417,0.12348743,0.62141263,0.04069997,0.7247679,0.4970988,0.33246598,0.58188176,0.4149487,0.65977323,0.50820524,0.73537457,0.6088886,0.8197999,0.7194363,0.8974519,0.8430591
2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35064664,0.32386523,0.31460482,0.38715613,0.26122338,0.46350527,0.19535752,0.54328775,0.124167405,0.6323378,0.04300729,0.73644483,0.48923433,0.33785886,0.5743176,0.4168229,0.6519809,0.5066537,0.7272332,0.6034697,0.81137526,0.7098148,0.8888848,0.8300957
0,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.34323943,0.31295183,0.3076753,0.3766623,0.2543595,0.45235956,0.18838969,0.5316046,0.11696385,0.61979747,0.03604462,0.7232964,0.4812889,0.33022112,0.5665642,0.4117223,0.64462805,0.5041428,0.7197242,0.60407746,0.8038857,0.7133616,0.8810543,0.83623314
0,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.33843517,0.3143133,0.30389956,0.37850785,0.2510122,0.45480913,0.18565412,0.5346692,0.11475811,0.62359273,0.034423493,0.72773874,0.47519767,0.3306833,0.5602237,0.41199395,0.6380861,0.50395995,0.71329594,0.6033495,0.79750276,0.7119205,0.8740274,0.8347161
-2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32935017,0.31663063,0.29647112,0.38136125,0.24525233,0.45813262,0.18113846,0.53853095,0.11196355,0.6280316,0.033605833,0.73285335,0.46476582,0.33182615,0.54931843,0.41193247,0.62781334,0.5028196,0.70253265,0.6010204,0.7866187,0.70844644,0.8636025,0.82987285
-6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32265598,0.31460804,0.29012495,0.37992436,0.23953138,0.45717806,0.17604394,0.53826046,0.10762386,0.6282971,0.030337207,0.7336519,0.45667487,0.32938147,0.5403632,0.40936336,0.6185283,0.50016683,0.6927625,0.5984502,0.7765134,0.7054438,0.85284704,0.82706666
-6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32000515,0.31230205,0.28776383,0.37675905,0.23798487,0.45362723,0.17533046,0.534298,0.10829444,0.6236111,0.03259199,0.7285452,0.44889158,0.32668433,0.5295153,0.40555042,0.604761,0.49555153,0.6773863,0.5931702,0.758287,0.69899565,0.83196914,0.8195603
-18,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.30538467,0.31006855,0.27532795,0.37580878,0.22748098,0.45445043,0.16682896,0.5371736,0.10228316,0.6283182,0.02923565,0.73481697,0.4330284,0.32157665,0.5130387,0.39912885,0.5883401,0.48792148,0.6607871,0.58395606,0.74149144,0.6881182,0.8152401,0.8075047
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31394628,0.30889463,0.27571243,0.375777,0.22273931,0.4548157,0.15858777,0.53815675,0.09048963,0.63031423,0.016156904,0.7377864,0.44208544,0.3188426,0.5147965,0.39538062,0.5855119,0.48308676,0.65377414,0.5780938,0.7305608,0.6808672,0.8033855,0.79915774
-30,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31997773,0.30962232,0.2806582,0.37462324,0.22714402,0.45222348,0.1624841,0.5337882,0.094583236,0.6237709,0.020682842,0.7288125,0.44508418,0.32000676,0.5145562,0.39485544,0.5824027,0.48164582,0.6482863,0.5753788,0.7218386,0.67694557,0.7924326,0.7927873
