"steering_angle","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_7","sample_6","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","f0_0","f0_1","f0_2","f0_3","f0_4","f0_5","f0_6","f0_7","f0_8","f0_9","f0_10","f0_11","f0_12","f0_13","f0_14","f0_15","f0_16","f0_17","f0_18","f0_19","f0_20","f0_21","f0_22","f0_23"
"32","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.46145737","0.44180632","0.35915494","0.50343907","0.26975536","0.56914747","0.1771398","0.63896894","0.077007994","0.72732973","2.1184236E-4","0.82552445","0.59794056","0.44395906","0.61031044","0.5069801","0.6290505","0.58020425","0.6542883","0.6598725","0.6879389","0.74093044","0.72846127","0.85280025"
"32","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.46145236","0.44180053","0.35906422","0.50387275","0.26970327","0.5700273","0.17707242","0.64026093","0.07689506","0.72918165","1.1385977E-4","0.82787186","0.5979254","0.44353366","0.61027324","0.50663203","0.6290867","0.5798025","0.654413","0.65944225","0.68819165","0.7405336","0.72887486","0.85243404"
"22","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.4624709","0.4467972","0.36008194","0.5077885","0.2707642","0.5729329","0.17813925","0.64221466","0.07782966","0.7300644","9.4890594E-4","0.82814765","0.5988844","0.44998676","0.61152315","0.51363504","0.63031566","0.5873165","0.6561326","0.66756415","0.6901733","0.74956566","0.7306147","0.86263263"
"-16","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.46138665","0.44067252","0.3596596","0.5027227","0.2705549","0.56939316","0.17807524","0.6400001","0.0781375","0.72924316","0.0014646873","0.8284154","0.59704304","0.4423857","0.6098387","0.50567836","0.62906796","0.57915986","0.6551055","0.65912926","0.6892516","0.7407787","0.73026407","0.85302997"
"-48","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.46072844","0.44330037","0.3580193","0.5060092","0.26865244","0.5725486","0.17595513","0.64323986","0.07509503","0.7334382","-0.0015238374","0.83269966","0.5973366","0.44462946","0.610015","0.5082869","0.6288477","0.58169115","0.6546906","0.6617838","0.6885507","0.74313796","0.72935617","0.8558793"
"-60","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.4614234","0.4558276","0.36214143","0.51471204","0.2745376","0.57893527","0.18342572","0.64741504","0.08469348","0.73236525","0.0075100586","0.830634","0.5953814","0.46119487","0.6096409","0.52467215","0.6307425","0.59842587","0.6589388","0.6793785","0.69556254","0.76225865","0.7373813","0.8763119"
"-60","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.4800714","0.4467163","0.3764552","0.5073758","0.284191","0.57499444","0.18912038","0.64699304","0.08762361","0.73455614","0.0078151375","0.83335","0.6177894","0.44808936","0.6293652","0.51053935","0.6491885","0.5831784","0.6764294","0.66293806","0.7107754","0.7451638","0.7546526","0.8561014"
"-60","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.4978655","0.44438","0.39414948","0.50368917","0.30032107","0.57197255","0.20313628","0.64539695","0.10116592","0.731231","0.018456899","0.82893884","0.6361565","0.44789037","0.6486919","0.51134837","0.67131084","0.585373","0.7003931","0.6679896","0.7369611","0.7529826","0.78417003","0.86481"
"-52","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.5267127","0.43678337","0.4217334","0.4952678","0.32465386","0.5642457","0.22475353","0.63891363","0.12094315","0.72350276","0.032950506","0.81726354","0.6739378","0.4418881","0.692234","0.5064657","0.7195529","0.5824302","0.7535164","0.6682683","0.7953096","0.7551216","0.8473797","0.8659573"
"-52","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.55203205","0.43942142","0.44553283","0.49787277","0.34601772","0.5662952","0.24505225","0.6413661","0.13944401","0.72572565","0.048019275","0.81740224","0.7058301","0.44661415","0.72624516","0.5124932","0.75585103","0.5904823","0.792938","0.67930925","0.8375453","0.7669299","0.8931738","0.8787694"
"-36","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6026362","0.42313778","0.5024766","0.4881727","0.40806305","0.5641405","0.3142413","0.6480453","0.21473992","0.7399107","0.12697609","0.843167","0.7518004","0.42118552","0.77452147","0.48357838","0.8088423","0.5597805","0.85214674","0.64703053","0.89763606","0.73392814","0.95761716","0.83872044"
"14","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6488732","0.42943186","0.5436921","0.49883354","0.44837093","0.5793712","0.35402656","0.6679692","0.2541029","0.7652825","0.17156292","0.8740971","0.79168487","0.4220174","0.80576134","0.48337108","0.8363035","0.5584244","0.8737891","0.6439972","0.9138814","0.73093665","0.9678512","0.83514315"
"58","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6770134","0.44018257","0.57387567","0.50396574","0.4814781","0.5806553","0.3910607","0.6656717","0.29508483","0.75828445","0.21641336","0.86497724","0.8129027","0.43516105","0.82431793","0.49514562","0.85403955","0.5689603","0.8887707","0.6535684","0.92554855","0.73966765","0.97463775","0.84440356"
"134","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.67993","0.4505915","0.5740732","0.5130426","0.48131096","0.5879867","0.39087152","0.67169756","0.292975","0.76390755","0.2166018","0.86833787","0.81529975","0.444174","0.8234886","0.5031632","0.8499112","0.575634","0.8815344","0.65834546","0.91462046","0.74188256","0.9612961","0.8461651"
"134","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6708207","0.44864357","0.5616218","0.5148795","0.46562347","0.5923797","0.37183815","0.67947555","0.27011997","0.77475977","0.19263944","0.88207626","0.8059111","0.4403807","0.8111855","0.5003904","0.8352541","0.57369673","0.8651484","0.65720683","0.89668846","0.7415985","0.94396365","0.8481712"
"126","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6557752","0.4337561","0.550336","0.50099117","0.45640248","0.57985014","0.3637509","0.667464","0.26419345","0.7634996","0.18494815","0.8718633","0.79294765","0.4246862","0.8044809","0.48457927","0.8318361","0.5576208","0.86634254","0.64104867","0.902211","0.7256825","0.95188653","0.83013415"
"104","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.65115225","0.4268515","0.54958737","0.49351948","0.45822698","0.572615","0.36743444","0.65986145","0.27106163","0.7551553","0.19164048","0.86388874","0.78780305","0.4183428","0.8030079","0.47794962","0.8333874","0.55113107","0.87057996","0.6346507","0.909501","0.719865","0.95959246","0.82266265"
"90","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.63478464","0.42691302","0.5491239","0.48567712","0.46853906","0.559585","0.3872384","0.64058965","0.3035083","0.72746646","0.22538365","0.8327412","0.7642126","0.42850995","0.7900835","0.4894681","0.8292171","0.5657254","0.8728786","0.6516","0.9195874","0.7412834","0.9711047","0.8465387"
"80","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.6075108","0.42196244","0.5313039","0.48083913","0.4566751","0.5538501","0.37978935","0.6342312","0.29989788","0.7219144","0.22136755","0.8262436","0.7384213","0.42666757","0.7742933","0.4895692","0.8206456","0.5671474","0.8705751","0.65461075","0.9248079","0.74595106","0.9829812","0.8548206"
"80","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.58487034","0.42550904","0.52051884","0.48425674","0.453673","0.55726135","0.38311803","0.63765794","0.3094616","0.7271879","0.23253362","0.83040965","0.7154012","0.43272084","0.7620633","0.49787003","0.81621873","0.57766896","0.87244153","0.6669113","0.9339479","0.7610314","0.99654156","0.87335396"
"74","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.5593205","0.4234503","0.50194156","0.48099715","0.43916386","0.55305475","0.37206316","0.6322358","0.30136722","0.721779","0.22393206","0.8241571","0.6900983","0.43159595","0.743415","0.49689394","0.8016808","0.57682055","0.86199534","0.6652384","0.9281233","0.76002717","0.9953892","0.87296826"
"58","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.5231248","0.42110008","0.47407946","0.4800617","0.4152611","0.5543862","0.35204494","0.63547516","0.28439867","0.7283912","0.20640986","0.8332744","0.6539849","0.42694744","0.7167357","0.49279785","0.7801105","0.572373","0.84636915","0.6598176","0.91838026","0.7547008","0.99071467","0.8676341"
"48","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.5049834","0.41884035","0.46398038","0.4767546","0.41144672","0.55103016","0.35330242","0.63153696","0.29072475","0.72423744","0.21596505","0.82866764","0.6316175","0.42524225","0.69950074","0.4914174","0.7661916","0.5717167","0.8348582","0.65887094","0.9088374","0.75457275","0.98220825","0.8681533"
"42","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.47631115","0.42245066","0.434008","0.48349494","0.3787784","0.5600503","0.31765473","0.6436826","0.25015596","0.7385677","0.1719417","0.8446051","0.611614","0.42816752","0.6849587","0.49759454","0.75428903","0.57937443","0.8277987","0.6705103","0.90597343","0.7684466","0.982357","0.8833294"
"28","0.40084648","0.37309483","0.35014018","0.44396442","0.28727487","0.5277633","0.21410081","0.61759","0.13528395","0.71782935","0.050964214","0.8295237","0.5463798","0.3775875","0.6204913","0.45701185","0.69358945","0.54459083","0.76754874","0.6411687","0.85070497","0.74652624","0.9314864","0.86621267","0.45868692","0.41481608","0.41270503","0.4759828","0.35498148","0.55077565","0.2911343","0.6334796","0.2207123","0.7261833","0.14032184","0.8306565","0.59586823","0.4215995","0.66667247","0.49183154","0.7339456","0.57365084","0.8058611","0.66500115","0.88305295","0.76336","0.95994407","0.8765395"
